statement,date,particulars,debit,credit,balance
1,02 MAY 22,OPENING BALANCE,,,0.00
1,05 AUG 22,COMPLETE PACKAGE FEE,395.00,,-395.00
1,05 AUG 22,DISBURSAL FROM LOAN ACCOUNT / FUNDS FOR COMPLETE PKG FEE,,395.00,0.00
1,05 AUG 22,LOAN DISBURSAL,"444,709.20",,"-444,709.20"
1,05 AUG 22,$395.00 PAID TO LOAN ACCOUNT FUNDS FOR PKG FEE,,,"-444,709.20"
1,05 AUG 22,"$444,314.20 PAID AS PER INSTRUCTIONS (SETTLEMENT PLATFORM REF REDACTED)",,,"-444,709.20"
1,05 AUG 22,DLI CHECK TITLE SEARCH,13.60,,"-444,722.80"
1,05 AUG 22,DLI DIRECT LINK TITLE SEARCH,27.20,,"-444,750.00"
1,05 AUG 22,HOME LOAN DISBURSAL FEE,250.00,,"-445,000.00"
1,22 AUG 22,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,100.00","-442,900.00"
1,05 SEP 22,"DEBIT INTEREST INT AFTER M/SAVR OFFSET $1,304.88",134.60,,"-444,204.88"
1,05 SEP 22,IB TRANSFER 690584188 FROM 999-821-5000062 6:20AM,,100.00,"-444,104.88"
1,23 SEP 22,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,100.00","-442,004.88"
1,23 SEP 22,IB TRANSFER 695235332 FROM 999-821-5000056 3:52PM,,100.84,"-441,904.04"
1,23 SEP 22,CLOSING BALANCE,,,"-441,904.04"
2,24 SEP 22,OPENING BALANCE,,,"-441,904.04"
2,05 OCT 22,"DEBIT INTEREST INT AFTER M/SAVR OFFSET $1,399.02",147.88,,"-443,303.06"
2,21 OCT 22,IB TRANSFER 702071255 FROM 999-821-5000010 9:43AM,,88.69,"-443,214.37"
2,24 OCT 22,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,106.58","-441,107.79"
2,24 OCT 22,IB TRANSFER 702783798 FROM 999-821-5000010 7:41PM,,107.79,"-441,000.00"
2,07 NOV 22,"DEBIT INTEREST INT AFTER M/SAVR OFFSET $1,673.83",170.39,,"-442,673.83"
2,23 NOV 22,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,236.56","-440,437.27"
2,05 DEC 22,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,476.85",181.55,,"-441,914.12"
2,23 DEC 22,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,370.67","-439,543.45"
2,05 JAN 23,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,617.68",288.83,,"-441,161.13"
2,23 JAN 23,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,370.67","-438,790.46"
2,24 JAN 23,IB TRANSFER 725485474 FROM 999-821-5000010 6:18PM,,362.81,"-438,427.65"
2,06 FEB 23,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,555.43",442.67,,"-439,983.08"
2,10 FEB 23,IB TRANSFER 729647359 FROM 999-821-5000010 6:07AM,,483.08,"-439,500.00"
2,10 FEB 23,CARRIED FORWARD,,,"-439,500.00"
2,10 FEB 23,BROUGHT FORWARD,,,"-439,500.00"
2,15 FEB 23,IB TRANSFER 730998587 FROM 999-821-5000010 7:53PM,,500.00,"-439,000.00"
2,23 FEB 23,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,437.86","-436,562.14"
2,27 FEB 23,IB TRANSFER 733393355 FROM 999-821-5000010 0:09AM 25FEB,,62.14,"-436,500.00"
2,06 MAR 23,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,401.42",391.00,,"-437,901.42"
2,23 MAR 23,CREDIT TRANSFER FROM ALEX JAMES SAMPLE,,"2,437.86","-435,463.56"
2,23 MAR 23,CLOSING BALANCE,,,"-435,463.56"
3,24 MAR 23,OPENING BALANCE,,,"-435,463.56"
3,05 APR 23,"DEBIT INTEREST AFTER OFFSET SAVING OF $1,551.02",455.39,,"-437,014.58"
3,11 APR 23,IB TRANSFER 744357745 FROM 999-821-5000010 0:23AM 10APR,,14.58,"-437,000.00"
